iter	Passed	Remaining
0	1	190
1	3	157
2	4	142
3	5	130
4	6	129
5	8	127
6	9	124
7	10	121
8	11	119
9	13	117
10	14	117
11	15	115
12	16	113
13	18	111
14	19	109
15	20	108
16	21	106
17	23	104
18	24	103
19	25	102
20	26	100
21	28	99
22	29	97
23	30	96
24	31	94
25	32	92
26	33	91
27	34	89
28	35	87
29	36	86
30	37	83
31	38	82
32	39	80
33	40	78
34	41	76
35	42	74
36	42	73
37	43	71
38	44	69
39	45	67
40	45	66
41	46	63
42	47	62
43	47	60
44	48	59
45	49	57
46	49	56
47	50	54
48	51	53
49	52	52
50	52	50
51	53	49
52	54	48
53	55	46
54	55	45
55	56	44
56	57	43
57	58	42
58	58	40
59	59	39
60	60	38
61	61	37
62	61	36
63	62	35
64	63	34
65	64	33
66	64	31
67	65	30
68	66	29
69	67	28
70	67	27
71	68	26
72	69	25
73	70	24
74	70	23
75	71	22
76	72	21
77	73	20
78	73	19
79	74	18
80	75	17
81	76	16
82	76	15
83	77	14
84	78	13
85	79	12
86	79	11
87	80	10
88	81	10
89	82	9
90	82	8
91	83	7
92	84	6
93	85	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	89	0
